episode,reward,avg_100
113,-182.22489834331503,-190.5933443014283
114,-187.53440988982362,-190.59811284427946
115,-184.2522556819517,-190.5129216465721
116,-181.4563487294552,-190.46421793026238
117,-187.93920873568072,-190.44994530678352
118,-187.1724013762544,-190.35589878754118
119,-178.68837369392764,-190.18803611068233
120,-178.4802738913292,-190.02034086399493
121,-190.0998108734942,-189.9819467914032
122,-190.28215854824575,-189.92556535577307
123,-190.58005304128835,-189.90927769882285
124,-189.34868623588025,-189.96963852961014
125,-189.23663005000174,-189.9107235079399
126,-186.02940124138127,-189.79570745834062
127,-191.06745769845244,-189.80189017460586
128,-193.65577002226775,-189.79182373184787
129,-179.6658998409997,-189.73557927022583
130,-184.68038458482226,-189.6325076483556
131,-189.6743957259834,-189.5878356007176
132,-183.01461776336365,-189.49721200079628
133,-189.9976178517318,-189.42622348349562
134,-193.16419339759267,-189.4012346626163
135,-191.7060429414959,-189.46996642441857
136,-192.51514798198446,-189.50163057322007
137,-179.76513742116754,-189.34315028904496
138,-187.23329026016464,-189.33568387890128
139,-191.0748160400617,-189.28375031809333
140,-192.9671149799254,-189.3405333435276
141,-192.6414782036758,-189.36210489292924
142,-187.89528578387896,-189.2667176276144
143,-190.5427858983876,-189.23358412609238
144,-187.4700684746589,-189.19838944862542
145,-185.11333575458775,-189.12139282895012
146,-188.45018744749746,-189.10990809532862
147,-191.0111031769457,-189.09929920934826
148,-189.53020959839887,-189.13538135566262
149,-184.489374940858,-189.1395996536222
150,-185.31633327627708,-189.08604483933684
151,-187.77332522566175,-189.00421318340716
152,-185.2507822647544,-188.91174198215066
153,-187.5490570273013,-188.8127029796694
154,-186.37845907281795,-188.7418454354524
155,-181.88979885862645,-188.61512367450533
156,-187.2272013090313,-188.54347792325726
157,-187.6648054173461,-188.4641840703097
158,-190.6314976867765,-188.46866085440536
159,-190.84396482878566,-188.42064927332532
160,-190.92910495426648,-188.4191089239073
161,-192.27767982713718,-188.40646064138753
162,-188.9215040683339,-188.3802695214515
163,-184.2485858406288,-188.3602870186839
164,-188.06820951023073,-188.30731379888337
165,-178.9183642104618,-188.14865438173706
166,-187.13907349097343,-188.12931782589368
167,-183.4386977461496,-188.03732042869237
168,-190.66965952771213,-188.01257241586546
169,-187.19690152656278,-187.96021433790492
170,-191.58192722165646,-188.04536553433715
171,-193.21047203990983,-188.03229623846187
172,-185.8429950386195,-188.03941212430024
173,-189.71072381541126,-188.0231255297779
174,-188.70261976164917,-188.00080290664118
175,-187.37321026658924,-187.93215163252418
176,-182.49763809497233,-187.83019082019143
177,-187.80319859246458,-187.83584655669628
178,-181.6330292870114,-187.78226806364623
179,-191.6297752362095,-187.89238569474549
180,-188.9771429465369,-187.8793526314856
181,-178.00704196531706,-187.8128740375992
182,-175.24350253540766,-187.64663996418122
183,-183.2844215598119,-187.59371471351977
184,-187.2779063592473,-187.55466714665764
185,-188.5124672328523,-187.56331849247775
186,-190.59334216104247,-187.56372502964743
187,-182.92488096544722,-187.5807354627136
188,-187.41392957864392,-187.55995680931537
189,-175.57898270268916,-187.46530495836657
190,-189.15060106128132,-187.40532501868455
191,-182.9818718255683,-187.3044452969064
192,-191.28933516978117,-187.28016290418938
193,-190.98087212416024,-187.29114146414437
194,-191.47508101242948,-187.31657490094275
195,-179.55098604975873,-187.20036634872264
196,-177.60576058225786,-187.09691332873012
197,-188.7397603456416,-187.05914184639107
198,-181.6514752285772,-187.11831074071975
199,-188.64452910167407,-187.0605712432811
200,-187.23570979146908,-187.10088745014346
201,-183.21068321111417,-187.00048017091632
202,-180.35734746908983,-187.02881150581615
203,-188.49692702149505,-186.99772446410364
204,-189.59364191119616,-186.95417270862438
205,-187.46367053574176,-186.92823663373423
206,-189.73046461116334,-186.89935433450367
207,-180.9390474708585,-186.9401818752523
208,-183.02727528715627,-186.85549019840445
209,-187.38882904597256,-186.8689939087217
210,-178.83186626622467,-186.79471258344253
211,-189.7376175367569,-186.7779718747604
212,-188.45524098041602,-186.77321432792044
213,-188.12663939925898,-186.83223173847986
214,-189.61691949055074,-186.85305683448715
215,-185.85238680158716,-186.8690581456835
216,-186.03685107397217,-186.91486316912867
217,-188.10467067351084,-186.91651778850698
218,-186.45472758520214,-186.90934105059642
219,-181.30087867717455,-186.9354661004289
220,-180.11322408181587,-186.95179560233373
221,-185.3069187965439,-186.90386668156424
222,-183.55547891494604,-186.83659988523127
223,-188.2887867949388,-186.81368722276775
224,-187.13114938282226,-186.79151185423723
