episode,reward,avg_100
1,-0.8750893660963612,-0.8750893660963612
2,-2.346726034179582,-1.6109077001379717
3,-4.396213923495395,-2.5393431079237794
4,-17.609606952381313,-6.306909069038163
5,-1.0139523175891725,-5.248317718748365
6,-16.887849648202476,-7.188239706990717
7,-2.669400991130459,-6.54269131901068
8,-0.23996050216375409,-5.754849966904814
9,-2.244232276878691,-5.364781334679689
10,-0.5309096404016884,-4.881394165251889
11,-1.453062976982622,-4.569727693591047
12,-2.483895746847935,-4.395908364695788
13,-6.136568037927574,-4.529805262636694
14,-5.247075734005165,-4.581038867734442
15,9.883832752778702,-3.6167140930335657
16,-4.568600492284517,-3.6762069929867502
17,-10.22828562285882,-4.061623382979225
18,-4.253243679627786,-4.072268955015256
19,-0.029111420701596558,-3.859471190051379
20,-3.1207426012855564,-3.822534760613088
21,-4.063739839519471,-3.8340207167514873
22,-9.630957455646737,-4.097517841246726
23,-2.572852684513066,-4.031228051823524
24,1.4429805443401449,-3.8031360269833705
25,-12.292454091527162,-4.142708749565122
26,-5.819315351709676,-4.2071936188783745
27,4.494024902044956,-3.8849262662515844
28,-18.52802539451011,-4.407894092260817
29,-4.084085182601854,-4.396728267789818
30,19.687130562581906,-3.593932973444095
31,-4.901545608270212,-3.636114026180421
32,-15.657665532752802,-4.011787510760808
33,-3.703419098131448,-4.002443013408404
34,-9.118624818026873,-4.152918948838359
35,-4.178139328161919,-4.153639531104747
36,-11.572511649724788,-4.359719312177526
37,-9.887678928340407,-4.509123626127874
38,0.12161145933391992,-4.3872621765104585
39,2.474963203368361,-4.2113076795904885
40,-2.5089659519077685,-4.16874913639842
41,6.375343825798865,-3.911576137320437
42,-7.097401047235877,-3.9874291113660427
43,6.0037780297310235,-3.755075456921925
44,5.036264760470004,-3.5552722701630173
45,-7.754232548579353,-3.648582498572269
46,-1.6457567436016944,-3.6050428082468216
47,-0.7232129499366664,-3.543727279346606
48,-3.031010180047261,-3.5330456731112023
49,-7.174079972676381,-3.6073524955513085
50,-2.0736553843615724,-3.576678553327514
51,6.385975437640681,-3.381332396641863
52,-7.326220889539087,-3.457195636889886
53,5.502691813726273,-3.2881411566895813
54,-14.36468315463317,-3.493262304799648
55,-4.720360122766124,-3.51557317421722
56,-15.525865909143391,-3.730042687340902
57,-5.864619815373459,-3.767491408885333
58,9.059080867425891,-3.5463436110178983
59,-0.03898825278621132,-3.4868969100309206
60,-32.07651554474447,-3.9633905539428134
61,0.3640829669843413,-3.892448365075155
62,12.378506277669999,-3.6300136127728138
63,10.042623326336056,-3.4129876296123554
64,50.23569935216712,-2.574726895522051
65,7.211747176190286,-2.4241657559572456
66,-4.346024877536067,-2.453284833556925
67,-0.05346897794773042,-2.4174666864582797
68,-7.256858716203155,-2.4886342163074695
69,40.89178950891045,-1.8599324231883692
70,23.690019019166535,-1.4949331168690134
71,-4.4624247532664185,-1.536728773719681
72,11.424115843677491,-1.3567170429224977
73,29.621752143185198,-0.9323544513319812
74,-5.3252273185159,-0.991717598185818
75,-18.92439800900381,-1.2308200036633912
76,22.836273295352555,-0.9141477234131813
77,-50.650250770439015,-1.560071139608322
78,0.2547588872003672,-1.5368040879825695
79,14.813273521396248,-1.3298410802689136
80,-33.275712291771875,-1.729164470412701
81,-10.718158536422361,-1.840139705795536
82,15.568122478750887,-1.6278438254961893
83,-12.230677813953392,-1.7555888133089266
84,43.65556638477322,-1.2149798228555677
85,40.58284531415844,-0.7232407035965793
86,-45.343292594893654,-1.2420785162860803
87,-26.07719292516731,-1.5275396014456346
88,-14.903919776473558,-1.679543921616407
89,44.861781232348896,-1.1566076839314035
90,-9.902627269085265,-1.253785679322002
91,-11.143281463892066,-1.3624614571744202
92,84.46624517448038,-0.42954073291730277
93,-8.704178448387246,-0.5185153320083774
94,-2.466584906388235,-0.5392394764166738
95,36.485540859714725,-0.14950494656265909
96,43.685527085620265,0.30710997043924637
97,-38.92061845090629,-0.09729960091483132
98,43.17268610382735,0.3442308654600889
99,54.02780302105905,0.8864891700620986
100,-17.30204844465029,0.7046037939149747
101,111.5065263334152,1.8284199509100905
102,-7.155163661994777,1.7803355746319383
103,-76.68880616056504,1.057409652261242
104,-13.465203040036052,1.0988536913846945
105,29.0597961138713,1.3995911756992994
106,-48.99830725724513,1.0784865996088728
107,-3.3693360788553264,1.0714872487316243
108,-10.06430915197582,0.9732437622335034
109,37.509947471658336,1.3707855597188734
110,45.63575958678125,1.8324522519907032
111,26.277583799679753,2.109758719757327
112,-62.096586182469565,1.5136318154011101
113,-74.0290953137803,0.834706542642583
114,4.803248549081765,0.9352097854734521
115,12.912167329383061,0.9654931312394959
116,29.360967654721435,1.3047888127095555
117,-76.63537028924374,0.6407179660457062
118,-46.63056009174097,0.2169448019245744
119,-16.781375227975644,0.04942216385183379
120,-25.341841438967144,-0.17278882452498168
121,-62.80794967661848,-0.7602309228959715
122,40.93360517006579,-0.2545852966388466
123,76.31907015463308,0.5343339317526152
124,67.07729639484862,1.1906770902576995
125,49.32660524515296,1.806867683624501
126,20.85238725237315,2.0735847096653295
127,71.59830625123165,2.744627523157196
128,87.45153077860412,3.804423084888338
129,42.25627653514492,4.267826702065806
130,37.047908644656985,4.441434482886557
131,68.56447562161827,5.176094695185442
132,-28.03309513178371,5.052340399195132
133,58.80390216923502,5.677413611868797
134,-32.61542084884677,5.442445651560599
135,-60.45376778300429,4.879689367012174
136,-48.94008713109356,4.506013612198487
137,17.611719749198237,4.781007598973873
138,34.18444304522504,5.121635914832785
139,109.85247841715385,6.195411066970641
140,74.66973459386438,6.967198072428362
141,72.28230644320558,7.626267698602428
142,89.43739450852846,8.591615654160073
143,118.18477336949225,9.713425607557685
144,110.36820370487463,10.766744997001728
145,115.22226172929678,11.996509939780491
146,-42.95846289273207,11.58338287828919
