epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2107.34,1.5362,1.06319,0.90627,0.39614,0.32184,0.28652,0.15888,1.46157,1.04396,0.90626,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2175.49,1.53574,1.06478,0.90599,0.40656,0.30994,0.28418,0.15656,1.46313,1.04816,0.90824,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2267.26,1.5384,1.06124,0.90566,0.4077,0.31876,0.2878,0.15824,1.46091,1.04737,0.90462,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2330.13,1.53166,1.05857,0.90738,0.41106,0.32138,0.29387,0.1625,1.45749,1.04381,0.90249,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2392.71,1.52035,1.05346,0.90507,0.41,0.32595,0.29312,0.16073,1.4515,1.0418,0.90381,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2455.6,1.5249,1.05196,0.90374,0.41054,0.3208,0.2876,0.1582,1.45719,1.04892,0.9048,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2519.28,1.50832,1.04455,0.90487,0.42378,0.32664,0.30014,0.16765,1.44035,1.03191,0.90201,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2581.92,1.52061,1.04679,0.90206,0.42606,0.31995,0.2953,0.16351,1.44944,1.02534,0.90223,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2644.14,1.50807,1.03706,0.90274,0.42829,0.3221,0.29798,0.16519,1.44548,1.02722,0.90146,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2706.36,1.51426,1.03976,0.90215,0.42592,0.32859,0.29966,0.16588,1.43985,1.02414,0.90143,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2768.88,1.50344,1.02987,0.9016,0.41962,0.329,0.30154,0.16762,1.44254,1.02817,0.90172,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2831.56,1.5061,1.03182,0.90171,0.42984,0.32646,0.3031,0.16829,1.43499,1.01729,0.89946,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2894.65,1.49643,1.02337,0.8986,0.43424,0.32841,0.30602,0.1696,1.43462,1.01842,0.90108,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2958.03,1.50054,1.02131,0.8999,0.42708,0.33429,0.30472,0.16973,1.43326,1.01861,0.89938,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3021,1.49374,1.01871,0.89811,0.42082,0.33164,0.30394,0.16782,1.43387,1.01755,0.8986,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3083.81,1.48824,1.01621,0.89907,0.42258,0.33787,0.30715,0.16864,1.4358,1.01016,0.89867,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3145.83,1.50147,1.02493,0.89959,0.42872,0.33267,0.3077,0.17168,1.42857,1.01185,0.89992,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3208.02,1.49506,1.01631,0.89767,0.43009,0.33648,0.3117,0.1747,1.42604,1.00219,0.898,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3272.53,1.49187,1.01145,0.89714,0.43874,0.33679,0.3145,0.1728,1.42749,1.00408,0.89719,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3335.68,1.49183,1.01075,0.89663,0.43268,0.34272,0.31124,0.17193,1.42477,1.00565,0.89697,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3398.22,1.48108,1.00512,0.89695,0.43519,0.33618,0.30923,0.17068,1.42502,1.00197,0.8952,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3460.88,1.48095,1.00306,0.8963,0.43472,0.3375,0.31277,0.17363,1.42134,0.99971,0.89579,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3524.33,1.4811,1.00274,0.89607,0.43331,0.3416,0.3114,0.17406,1.41932,0.99759,0.89513,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3587.46,1.46423,0.99382,0.8932,0.43436,0.3342,0.30974,0.17246,1.42126,0.99745,0.89513,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3650.41,1.47577,0.99658,0.89363,0.42659,0.347,0.31434,0.17501,1.41905,0.99585,0.89562,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3713.59,1.47558,0.99666,0.89342,0.44234,0.33309,0.31256,0.17387,1.41838,0.99585,0.89356,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3775.68,1.46573,0.98915,0.89241,0.44758,0.33826,0.3194,0.17815,1.41493,0.99219,0.89555,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3839.68,1.474,0.98661,0.89224,0.42866,0.34187,0.31282,0.17539,1.41308,0.99468,0.89518,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3902.16,1.46297,0.98427,0.89295,0.43099,0.34361,0.31288,0.17466,1.41159,0.99215,0.89409,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3965.47,1.46391,0.98769,0.8927,0.44374,0.33907,0.31445,0.17594,1.41171,0.99037,0.89478,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4031.43,1.47283,0.98279,0.89033,0.43173,0.33953,0.31459,0.1762,1.40921,0.99255,0.8942,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
