episode,reward,avg_100
73,-177.93214080167903,-188.27075762193135
74,-185.53805043396753,-188.23382914641834
75,-176.47539487822945,-188.07705002284249
76,-180.83251044194034,-187.98172713362007
77,-179.77958108489756,-187.87520575636395
78,-192.1452373988462,-187.92994975178038
79,-190.2974301801856,-187.95991785846908
80,-190.0624758570121,-187.98619983345083
81,-181.21430297599326,-187.90259616854397
82,-181.1179937157869,-187.81985711424204
83,-190.99036672576543,-187.85805602522424
84,-195.9088922890267,-187.95389931407902
85,-179.42601861653606,-187.85357130587263
86,-181.95951062694448,-187.78503571658277
87,-192.19762723917265,-187.8357551593712
88,-188.28190394319336,-187.8408250319146
89,-193.90588039124316,-187.90897172134527
90,-170.01881070669262,-187.71019215451582
91,-188.85671828559208,-187.7227913427694
92,-176.36051046589523,-187.5992882897599
93,-186.91509513351133,-187.5919313741013
94,-187.96326845074026,-187.59588176853364
95,-173.77824335497735,-187.45043294312777
96,-182.60882453135346,-187.39999952217178
97,-192.6178246660969,-187.45379153396482
98,-163.7487958740039,-187.21190382314887
99,-187.37652410732636,-187.21356665430218
100,-182.3289866803854,-187.16472085456303
101,-173.56221046602622,-186.9643113107315
102,-186.2113372414794,-186.98308790140322
103,-170.85542607698346,-186.86894317593985
104,-171.45819806023505,-186.7041647958597
105,-178.135959440308,-186.5614207793099
106,-178.25828068970677,-186.4975929626978
107,-178.7236336542706,-186.40592621494048
108,-153.0167722013527,-186.04563885197257
109,-187.0393406543185,-186.05370612443505
110,-189.66393574984951,-186.08485891483045
111,-183.85505571863428,-186.005136695513
112,-186.0501108135368,-186.02619312177725
113,-175.80771867666178,-185.86139117406222
114,-174.94672741014497,-185.74811990909734
115,-184.81884712550516,-185.64506682604357
116,-186.86887878280623,-185.65215914787285
117,-162.8524729862301,-185.3690819991196
118,-177.10981500696224,-185.3245799131801
119,-170.73891795723267,-185.18427425660246
120,-190.90748478247892,-185.20084027423204
121,-180.75007155025074,-185.11105591603848
122,-171.52192850522638,-184.93645927020523
123,-162.08523561424084,-184.60849088290638
124,-172.63537478876918,-184.44177424008186
125,-177.5505157284908,-184.3533995935043
126,-193.66349669314314,-184.35553422979137
127,-183.44833260799663,-184.3253515042998
128,-163.50343177693767,-184.13064497709757
129,-169.26734394276818,-183.97234397929276
130,-158.17299798951169,-183.6701640528081
131,-161.48505131793357,-183.3531207824256
132,-164.95890076208534,-183.13198651419683
133,-170.04093888977408,-183.01034314469965
134,-164.14372495691396,-182.76279805821116
135,-166.5060415151417,-182.4984793327799
136,-155.11654957838428,-182.1467004495066
137,-167.345948507754,-181.9660851182034
138,-171.33010901212245,-181.82990481237815
139,-147.08155143069274,-181.54781649096833
140,-172.58767748975404,-181.31803102126452
141,-158.89131903964008,-180.99709100481724
142,-170.42701582684805,-180.82119038160153
143,-163.84723929324616,-180.6354355938794
144,-123.94922579429392,-179.9452385826498
145,-159.366533688532,-179.62703852987315
146,-165.87739423963015,-179.41026658450716
147,-167.52974176381983,-179.15900968541288
148,-161.9768229442617,-178.85520130105817
149,-171.59093690965017,-178.61332015545148
150,-184.43367215352438,-178.59598557812066
151,-172.91931278016838,-178.50502845881078
152,-126.25862112630249,-177.86571367345525
153,-159.65555821157875,-177.62724988089434
154,-156.23090723395399,-177.26723168684643
155,-159.00225864432431,-176.9486347852611
156,-160.5510709100636,-176.7953366798036
157,-164.09335819238922,-176.51805987427053
158,-162.2892528825725,-176.22549142750205
159,-163.3757390302429,-175.95006076035486
160,-152.5950099178414,-175.52953665771565
161,-162.73124323089215,-175.31171973844775
162,-157.82736046183308,-175.04754497443938
163,-172.4535119203421,-174.9297054443953
164,-157.18384377239258,-174.60471444287998
165,-172.29446630620816,-174.4182245536522
166,-158.25851787662955,-174.0985358692712
167,-174.0265289368404,-173.97704839470254
168,-151.14547959990153,-173.5715397056965
169,-164.11888766183912,-173.310890169528
170,-167.71625845159912,-173.04986494349512
171,-149.55693134411513,-172.6998189494544
172,-159.22068965517522,-172.36109975810265
173,-158.12518444864187,-172.16303019457231
174,-118.28300624608616,-171.49047975269343
175,-171.68744967829977,-171.44260030069415
176,-117.15631074496274,-170.80583830372433
177,-152.9216489001368,-170.53725898187673
178,-156.69066754340184,-170.18271328332227
179,-164.2795413951972,-169.92253439547238
