Eksperyment,Accuracy,Czas [s],Parametry
Epoki_5,57.55,6380.1872363090515,"Nx=6, Heads=8, Patch=4"
Epoki_10,62.55,12682.992254018784,"Nx=6, Heads=8, Patch=4"
